Subject	Object
BFO:0000050	part of
DBR:Iran	Iran (Islamic Republic of)
DBR:Republic_of_Ireland	Ireland
DBR:South_Korea	Republic of Korea
DBR:United_Kingdom	U.K.
DBR:United_States	United States of America
DBR:United_States	U.S.
BFO:0000020	specifically dependent continuant
BFO:0000020	SpecificallyDependentContinuant
BFO:0000040	material type
BTO:0000383	renal cell adenocarcinoma cell line
BTO:0000383	kidney adenocarcinoma cell line
BTO:0000383	hypernephroma cell line
BTO:0000383	RCC cell line
BTO:0000551	lung carcinoma cell
BTO:0001948	TIB-152
BTO:0001948	Jurkat cell E6.1
BTO:0001948	Jurkat cell E-6.1
BTO:0001948	Jurkat E6.1
BTO:0002178	human mammary epithelial cell
BTO:0002178	HMEC cell
BTO:0002179	A1N4 cell
BTO:0002842	extrahepatic bile duct carcinoma cell
BTO:0002842	cholangiocellular carcinoma cell
BTO:0002842	bile duct carcinoma cell
BTO:0002844	invasive ductal carcinoma cell
BTO:0002844	breast infiltrating ductal carcinoma cell
BTO:0002844	IDC cell
BTO:0004263	COM3 cell
BTO:0004264	INC2 cell
BTO:0004298	corneal endothelial cell
CHEBI:100241	v-Abl Abelson Murine Leukemia Viral Oncogene Homolog 1 Gene
CHEBI:100241	ciproxin; cipro
CHEBI:100241	ciprofloxacinum
CHEBI:100241	ciprofloxacino
CHEBI:100241	ciprofloxacine
CHEBI:100241	OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
CHEBI:100241	InChIKey=MYSWGUAQZAJSOK-MPIMZMORCO
CHEBI:100241	InChI=1/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)/f/h23H
CHEBI:100241	C17H18FN3O3
CHEBI:100241	ABL1 Gene
CHEBI:100241	ABL1
CHEBI:100241	1-cyclopropyl-6-fluoro-7-hexahydro-1-pyrazinyl-4-oxo-1,4-dihydro-3-quinolinecarboxylic acid
CHEBI:100241	1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid
CHEBI:100241	1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid
CHEBI:100241	1-cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid
CHEBI:100241	1-Cyclopropyl-6-fluoro-7-(4-methyl-piperazin-1-yl)-4-oxo-1,4-dihydro-quinoline-3-carboxylic acid
CHEBI:100241	1-Cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-yl-1,4-dihydro-quinoline-3-carboxylic acid
CHEBI:100241	1-CYCLOPROPYL-6-FLUORO-4-OXO-7-PIPERAZIN-1-YL-1,4-DIHYDROQUINOLINE-3-CARBOXYLIC ACID
CHEBI:100241	"""Blue Bone"" Formation"
CHEBI:100246	NFLX
CHEBI:100246	1-Ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid
CHEBI:100246	1-Ethyl-6-fluor-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-chinolincarbonsaeure
CHEBI:100246	1,4-Dihydro-1-ethyl-6-fluoro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid
CHEBI:10033	warfarinum
CHEBI:10033	warfarine
CHEBI:10033	warfarina
CHEBI:10033	Zoocoumarin
CHEBI:10033	Warf 10
CHEBI:10033	Coumafene
CHEBI:10033	C19H16O4
CHEBI:10033	4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-1-benzopyran-2-one
CHEBI:10033	4-Hydroxy-3-(3-oxo-1-phenylbutyl)coumarin
CHEBI:10033	4-Hydroxy-3-(3-oxo-1-phenyl-butyl)-cumarin
CHEBI:10033	3-(alpha-Phenyl-beta-acetylethyl)-4-hydroxycoumarin
CHEBI:10033	3-(alpha-Phenyl-beta-acetylaethyl)-4-hydroxycumarin
CHEBI:10033	3-(1'-Phenyl-2'-acetylethyl)-4-hydroxycoumarin
CHEBI:10033	2H-1-Benzopyran-2-one, 4-hydroxy-3-(3-oxo-1-phenylbutyl)-
CHEBI:10033	1-(4'-Hydroxy-3'-coumarinyl)-1-phenyl-3-butanone
CHEBI:10033	(Phenyl-1 acetyl-2 ethyl) 3-hydroxy-4 coumarine
CHEBI:101278	diltiazemum
CHEBI:101278	diltiazem
CHEBI:101278	Diltiazem
CHEBI:101278	DILTIAZEM
CHEBI:101278	C22H26N2O4S
CHEBI:101278	Acetic acid (2S,3S)-5-(2-dimethylamino-ethyl)-2-(4-methoxy-phenyl)-4-oxo-2,3,4,5-tetrahydro-benzo[b][1,4]thiazepin-3-yl ester
CHEBI:101278	(2S-cis)-3-(acetyloxy)-5-[2-(dimethylamino)ethyl]-2,3-dihydro-2-(4-methoxyphenyl)-1,5-benzothiazepin-4(5H)-one
CHEBI:101278	(2S,3S)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate
CHEBI:101278	(2S,3S)-5-(2-(dimethylamino)ethyl)-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydrobenzo[b][1,4]thiazepin-3-yl acetate
CHEBI:101278	(+)-cis-5-[2-(dimethylamino)ethyl]-2,3-dihydro-3-hydroxy-2-(p-methoxyphenyl)-1,5-benzothiazepin-4(5H)-one acetate ester
CHEBI:11009	(R)-3-phenyllactate
CHEBI:11009	(2R)-2-hydroxy-3-phenylpropanoate
CHEBI:11424	2,3-dihydroxy-3-methylbutanoate
CHEBI:114785	N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine
CHEBI:114785	InChIKey=AAKJLRGGTJKAMG-UHFFFAOYSA-N
CHEBI:114785	InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)
CHEBI:1148	2-hydroxybutanoic acid
CHEBI:1148	2-Hydroxybutyric acid
CHEBI:11596	2-hydroxypentanedioate
CHEBI:116314	oleamide
CHEBI:116314	(9Z)-octadec-9-enamide
CHEBI:11805	3-hydroxy-2-methylpropanoate
CHEBI:11805	3-Hydroxyisobutyrate
CHEBI:11851	3-methyl-2-oxobutanoate
CHEBI:11892	3-(carbamoylamino)propanoate
CHEBI:11951	4-acetamidobutanoate
CHEBI:1224	Urea C-13
CHEBI:1224	UREA, C-13
CHEBI:1224	O=N(=O)c1ccc-2c(Cc3ccccc-23)c1
CHEBI:1224	Nitrofluorene
CHEBI:1224	NF
CHEBI:1224	InChIKey=XFOHWECQTFIEIX-UHFFFAOYAJ
CHEBI:1224	InChI=1/C13H9NO2/c15-14(16)11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8H,7H2
CHEBI:1224	Helicosol
CHEBI:1224	C13H9NO2
CHEBI:1224	C13 Urea
CHEBI:1224	2-nitro-9H-fluorene
CHEBI:124991	cefalotinum
CHEBI:124991	cefalotine
CHEBI:124991	cefalotina
CHEBI:124991	cefalotin
CHEBI:124991	Cephalotin
CHEBI:124991	Cephalothin
CHEBI:124991	Cefalothin
CHEBI:124991	CET
CHEBI:124991	CEPHALOTHIN
CHEBI:124991	C16H16N2O6S2
CHEBI:124991	7beta-(thiophen-2-ylacetamido)-3-acetoxymethyl-3,4-didehydrocepham-4-carboxylic acid
CHEBI:124991	7-(Thiophene-2-acetamido)cephalosporin
CHEBI:124991	7-(2-Thienylacetamido)cephalosporanic acid
CHEBI:124991	3-Acetoxymethyl-7-(2-thienylacetamido)-3-cephem-4-carboxylic acid
CHEBI:124991	(6R,7R)-3-(acetoxymethyl)-8-oxo-7-(thiophen-2-ylacetamido)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid
CHEBI:131444	carbamimidamidoacetate
CHEBI:132030	N-(3alpha,7beta-dihydroxy-5beta-cholan-24-oyl)glycinate
CHEBI:132030	Glycoursodeoxycholate
CHEBI:133511	3-hydroxyoctanoate
CHEBI:133514	2-hydroxyoctanoate
CHEBI:133607	(3-hydroxybenzamido)acetate
CHEBI:133613	(4-hydroxybenzamido)acetate
CHEBI:133738	2-hydroxyhexanoate
CHEBI:135752	rac-N(4)-{2,6-dimethoxy-4-methyl-5-[3-(trifluoromethyl)phenoxy]quinolin-8-yl}pentane-1,4-diamine
CHEBI:1367	Ras Peptide CYS
CHEBI:1367	Ras (sub 5-17) Peptide (C12)
CHEBI:1367	InChIKey=UQMGJOKDKOLIDP-UHFFFAOYAU
CHEBI:1367	InChI=1/C12H6Cl4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H
CHEBI:1367	Clc1ccc(cc1Cl)-c1ccc(Cl)c(Cl)c1
CHEBI:1367	C12H6Cl4
CHEBI:1367	3,4,3',4'-Tetra coplanar polychlorinated biphenyl
CHEBI:1367	3,3',4,4'-tetrachloro-1,1'-biphenyl
CHEBI:13705	InChIKey=WDJHALXBUFZDSR-TZWAVNMPCM
CHEBI:13705	InChI=1/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)/p-1/fC4H5O3/q-1
CHEBI:13705	Complement Component-4
CHEBI:13705	Complement C4
CHEBI:13705	CC(=O)CC([O-])=O
CHEBI:13705	C4H5O3
CHEBI:13705	Butanoic acid, 3-oxo-, ion(1-)
CHEBI:13705	Acetoacetate ion(1-)
CHEBI:13705	3-oxobutanoate
CHEBI:15075	tetraoxidoselenate(2-)
CHEBI:15075	[SeO4](2-)
CHEBI:15075	[O-][Se]([O-])(=O)=O
CHEBI:15075	SELENATE ION
CHEBI:15075	O4Se
CHEBI:15075	InChIKey=QYHFIVBSNOWOCQ-VMRORRRTCU
CHEBI:15075	InChI=1/H2O4Se/c1-5(2,3)4/h(H2,1,2,3,4)/p-2/fO4Se/q-2
CHEBI:15193	rel-(2R,3R)-2,3-dihydroxybutanedioate
CHEBI:15343	ethyl aldehyde
CHEBI:15343	acetic aldehyde
CHEBI:15343	acetaldehydes
CHEBI:15343	acetaldehyde
CHEBI:15343	Ethanal
CHEBI:15343	C2H4O
CHEBI:15343	Azetaldehyd
CHEBI:15343	Acetaldehyde
CHEBI:15343	Acetaldehyd
CHEBI:15343	ACETALDEHYDE
CHEBI:15347	propanone
CHEBI:15347	propan-2-one
CHEBI:15347	methyl ketone
CHEBI:15347	dimethylcetone
CHEBI:15347	Propanon
CHEBI:15347	InChIKey=CSCPPACGZOOCGX-UHFFFAOYAF
CHEBI:15347	InChI=1/C3H6O/c1-3(2)4/h1-2H3
CHEBI:15347	Dimethylketon
CHEBI:15347	Dimethyl ketone
CHEBI:15347	CC(C)=O
CHEBI:15347	C3H6O
CHEBI:15347	Azeton
CHEBI:15347	Aceton
CHEBI:15347	2-Propanone
CHEBI:15354	choline
CHEBI:15354	Choline
CHEBI:15354	2-hydroxy-N,N,N-trimethylethanaminium
CHEBI:15361	pyruvate
CHEBI:15361	2-oxopropanoate
CHEBI:15365	salicylic acid acetate
CHEBI:15365	o-carboxyphenyl acetate
CHEBI:15365	o-acetoxybenzoic acid
CHEBI:15365	acidum acetylsalicylicum
CHEBI:15365	acido acetilsalicilico
CHEBI:15365	acide acetylsalicylique
CHEBI:15365	acide 2-(acetyloxy)benzoique
CHEBI:15365	O-acetylsalicylic acid
CHEBI:15365	Easprin
CHEBI:15365	C9H8O4
CHEBI:15365	Azetylsalizylsaeure
CHEBI:15365	Aspirin
CHEBI:15365	Acetylsalicylsaeure
CHEBI:15365	Acetylsalicylic acid
CHEBI:15365	Acetylsalicylate
CHEBI:15365	ASA
CHEBI:15365	2-acetoxybenzoic acid
CHEBI:15365	2-Acetoxybenzenecarboxylic acid
CHEBI:15365	2-(acetyloxy)benzoic acid
CHEBI:15365	2-(ACETYLOXY)BENZOIC ACID
CHEBI:15366	ethoic acid
CHEBI:15366	acide acetique
CHEBI:15366	Methanecarboxylic acid
CHEBI:15366	InChIKey=QTBSBXVTEAMEQO-TULZNQERCK
CHEBI:15366	InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H
CHEBI:15366	HOAc
CHEBI:15366	Ethylic acid
CHEBI:15366	Ethanoic acid
CHEBI:15366	Essigsaeure
CHEBI:15366	CH3-COOH
CHEBI:15366	CC(O)=O
CHEBI:15366	C2H4O2
CHEBI:15366	C2 Mouse
CHEBI:15367	tretinoin
CHEBI:15367	trans-Retinoic acid
CHEBI:15367	beta-Retinoic acid
CHEBI:15367	all-trans-beta-Retinoic acid
CHEBI:15367	all-trans-Vitamin A1 acid
CHEBI:15367	all-trans-Vitamin A acid
CHEBI:15367	all-trans-Tretinoin
CHEBI:15367	all-trans-Retinoic acid
CHEBI:15367	all-(E)-Retinoic acid
CHEBI:15367	Vitamin A acid
CHEBI:15367	Vesanoid
CHEBI:15367	Tretinoine (French) (EINECS)
CHEBI:15367	Tretin M
CHEBI:15367	Stieva-A
CHEBI:15367	Ro 1-5488
CHEBI:15367	Retisol-A
CHEBI:15367	Retinoic acid
CHEBI:15367	Retin-A
CHEBI:15367	Renova
CHEBI:15367	RETINOIC ACID
CHEBI:15367	C20H28O2
CHEBI:15367	Acide retinoique (French) (DSL)
CHEBI:15367	AGN 100335
CHEBI:15367	3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL)
CHEBI:15367	(all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid
CHEBI:15367	(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid
CHEBI:15368	[H]C(=C)C([H])=O
CHEBI:15368	Propenal
CHEBI:15368	InChIKey=HGINCPLSRVDWNT-UHFFFAOYAQ
CHEBI:15368	InChI=1/C3H4O/c1-2-3-4/h2-3H,1H2
CHEBI:15368	Complement Component 3 Gene
CHEBI:15368	C3H4O
CHEBI:15368	C3 Gene
CHEBI:15368	Acrylic aldehyde
CHEBI:15368	Acrylaldehyde
CHEBI:15372	Tetrahydrobiopterin
CHEBI:15372	C9H15N5O3
CHEBI:15372	BH4
CHEBI:15372	5,6,7,8-tetrahydrobiopterin
CHEBI:15372	5,6,7,8-Tetrahydrobiopterin
CHEBI:15372	5,6,7,8-TETRAHYDROBIOPTERIN
CHEBI:15372	2-amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydropteridin-4(3H)-one
CHEBI:15372	2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone
CHEBI:15377	oxidane
CHEBI:15377	hydrogen hydroxide
CHEBI:15377	eau
CHEBI:15377	dihydrogen oxide
CHEBI:15377	dihydridooxygen
CHEBI:15377	aqua
CHEBI:15377	agua
CHEBI:15377	acqua
CHEBI:15377	[OH2]
CHEBI:15377	[H]O[H]
CHEBI:15377	Wasser
CHEBI:15377	InChIKey=XLYOFNOQVPJJNP-UHFFFAOYAF
CHEBI:15377	InChI=1/H2O/h1H2
CHEBI:15377	HOH
CHEBI:15377	H2O
CHEBI:15377	BOUND WATER
CHEBI:15379	molecular oxygen
CHEBI:15379	dioxygene
CHEBI:15379	dioxygen
CHEBI:15379	OXYGEN MOLECULE
CHEBI:15379	O=O
CHEBI:15379	O2
CHEBI:15379	O(2)
CHEBI:15379	InChIKey=MYMOFIZGZYHOMD-UHFFFAOYAM
CHEBI:15379	InChI=1/O2/c1-2
CHEBI:15379	Disauerstoff
CHEBI:15414	[1-(adenin-9-yl)-1,5-dideoxy-beta-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulfonium
CHEBI:15414	[(3S)-3-amino-3-carboxypropyl](5'-deoxyadenosin-5'-yl)(methyl)sulfonium
CHEBI:15414	SAMe
CHEBI:15414	SAM
CHEBI:15414	S-adenosylmethionine
CHEBI:15414	S-Adenosylmethionine
CHEBI:15414	S-Adenosyl-L-methionine
CHEBI:15414	S-(5'-deoxyadenosin-5'-yl)-L-methionine
CHEBI:15414	C15H23N6O5S
CHEBI:15414	AdoMet
CHEBI:15414	Acylcarnitine
CHEBI:15414	(3S)-5'-[(3-amino-3-carboxypropyl)methylsulfonio]-5'-deoxyadenosine, inner salt
CHEBI:15428	glycine
CHEBI:15428	aminoacetic acid
CHEBI:15428	Glycine
CHEBI:15428	GLYCINE
CHEBI:15551	dinoprostonum
CHEBI:15551	dinoprostone
CHEBI:15551	dinoprostona
CHEBI:15551	Prostin E2
CHEBI:15551	Prostaglandin E2
CHEBI:15551	Propess
CHEBI:15551	Prepidil
CHEBI:15551	PGE2
CHEBI:15551	Dinoprostone
CHEBI:15551	Dinoproston
CHEBI:15551	C20H32O5
CHEBI:15551	(Z)-7-((1R,2R,3R)-3-hydroxy-2-((S,E)-3-hydroxyoct-1-enyl)-5-oxocyclopentyl)hept-5-enoic acid
CHEBI:15551	(E,Z)-(1R,2R,3R)-7-(3-Hydroxy-2-((3S)-(3-hydroxy-1-octenyl))-5-oxocyclopentyl)-5-heptenoic acid
CHEBI:15551	(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dien-1-oic acid
CHEBI:15551	(5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate
CHEBI:15551	(5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate
CHEBI:15551	(5Z,11alpha,13E,15S)-11,15-dihydroxy-9-oxoprosta-5,13-dien-1-oic acid
CHEBI:15551	(15S)-prostaglandin E2
CHEBI:15560	PAFABP
CHEBI:15560	OPDA
CHEBI:15560	InChIKey=PMTMAFAPLCGXGK-OFJIPWNVDL
CHEBI:15560	InChI=1/C18H28O3/c1-2-3-7-11-16-15(13-14-17(16)19)10-8-5-4-6-9-12-18(20)21/h3,7,13-16H,2,4-6,8-12H2,1H3,(H,20,21)/b7-3-/t15-,16-/m0/s1/f/h20H
CHEBI:15560	Fatty Acid Binding Protein 5
CHEBI:15560	FABP5
CHEBI:15560	Epidermal Fatty Acid-Binding Protein
CHEBI:15560	EFABP
CHEBI:15560	CC\\C=C/C[C@H]1[C@@H](CCCCCCCC(O)=O)C=CC1=O
CHEBI:15560	C18H28O3
CHEBI:15560	9(S),13(S)-12-Oxo-PDA
CHEBI:15560	8-{(1S,5S)-4-oxo-5-[(2Z)-pent-2-en-1-yl]cyclopent-2-en-1-yl}octanoic acid
CHEBI:15560	8-(2-(cis-2'-Pentenyl)-3-oxo-cis-4-cyclopentenyl)octanoic acid
CHEBI:15560	4-oxo-5-(2-pentenyl)-2-Cyclopentene-1-octanoic acid
CHEBI:15560	12-oxophytodienoic acid
CHEBI:15560	12-Oxo-10,15(Z)-phytodienoic acid
CHEBI:15560	12-OPDA
CHEBI:15560	(15Z)-12-Oxophyto-10,15-dienoate
CHEBI:15588	(2R)-2-hydroxybutanedioate
CHEBI:15589	(2S)-2-hydroxybutanedioate
CHEBI:15595	2-hydroxybutanedioate
CHEBI:15598	2-hydroxybutane-1,2,3-tricarboxylate
CHEBI:15611	sarcosine
CHEBI:15611	Sarcosine
CHEBI:15611	SARCOSINE
CHEBI:15676	allantoin
